[2022-05-09T22:46:12.386] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.392] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.395] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.398] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.402] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.404] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.408] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.410] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.412] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.415] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.419] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.421] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.425] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.427] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.430] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.432] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.437] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.441] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.444] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.446] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.449] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.452] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.457] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.460] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.463] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.466] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.469] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.472] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.475] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.478] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.480] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.485] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.487] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.491] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.516] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.526] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.546] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.548] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.552] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.558] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.560] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.562] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.565] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.569] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.572] [INFO] infoFile - { route: '/info', method: '[GET]' }
